@relation da

@attribute 0 numeric
@attribute 1 numeric
@attribute 2 numeric
@attribute 3 numeric

@data
0.222222,0.625,0.067797,0.041667
0.166667,0.416667,0.067797,0.041667
0.111111,0.5,0.050847,0.041667
0.083333,0.458333,0.084746,0.041667
0.194444,0.666667,0.067797,0.041667
0.305556,0.791667,0.118644,0.125
0.083333,0.583333,0.067797,0.083333
0.194444,0.583333,0.084746,0.041667
0.027778,0.375,0.067797,0.041667
0.166667,0.458333,0.084746,0
0.305556,0.708333,0.084746,0.041667
0.138889,0.583333,0.101695,0.041667
0.138889,0.416667,0.067797,0
0,0.416667,0.016949,0
0.416667,0.833333,0.033898,0.041667
0.388889,1,0.084746,0.125
0.305556,0.791667,0.050847,0.125
0.222222,0.625,0.067797,0.083333
0.388889,0.75,0.118644,0.083333
0.222222,0.75,0.084746,0.083333
0.305556,0.583333,0.118644,0.041667
0.222222,0.708333,0.084746,0.125
0.083333,0.666667,0,0.041667
0.222222,0.541667,0.118644,0.166667
0.138889,0.583333,0.152542,0.041667
0.194444,0.416667,0.101695,0.041667
0.194444,0.583333,0.101695,0.125
0.25,0.625,0.084746,0.041667
0.25,0.583333,0.067797,0.041667
0.111111,0.5,0.101695,0.041667
0.138889,0.458333,0.101695,0.041667
0.305556,0.583333,0.084746,0.125
0.25,0.875,0.084746,0
0.333333,0.916667,0.067797,0.041667
0.166667,0.458333,0.084746,0
0.194444,0.5,0.033898,0.041667
0.333333,0.625,0.050847,0.041667
0.166667,0.458333,0.084746,0
0.027778,0.416667,0.050847,0.041667
0.222222,0.583333,0.084746,0.041667
0.194444,0.625,0.050847,0.083333
0.055556,0.125,0.050847,0.083333
0.027778,0.5,0.050847,0.041667
0.194444,0.625,0.101695,0.208333
0.222222,0.75,0.152542,0.125
0.138889,0.416667,0.067797,0.083333
0.222222,0.75,0.101695,0.041667
0.083333,0.5,0.067797,0.041667
0.277778,0.708333,0.084746,0.041667
0.194444,0.541667,0.067797,0.041667
0.75,0.5,0.627119,0.541667
0.583333,0.5,0.59322,0.583333
0.722222,0.458333,0.661017,0.583333
0.333333,0.125,0.508475,0.5
0.611111,0.333333,0.610169,0.583333
0.388889,0.333333,0.59322,0.5
0.555556,0.541667,0.627119,0.625
0.166667,0.166667,0.389831,0.375
0.638889,0.375,0.610169,0.5
0.25,0.291667,0.491525,0.541667
0.194444,0,0.423729,0.375
0.444444,0.416667,0.542373,0.583333
0.472222,0.083333,0.508475,0.375
0.5,0.375,0.627119,0.541667
0.361111,0.375,0.440678,0.5
0.666667,0.458333,0.576271,0.541667
0.361111,0.416667,0.59322,0.583333
0.416667,0.291667,0.525424,0.375
0.527778,0.083333,0.59322,0.583333
0.361111,0.208333,0.491525,0.416667
0.444444,0.5,0.644068,0.708333
0.5,0.333333,0.508475,0.5
0.555556,0.208333,0.661017,0.583333
0.5,0.333333,0.627119,0.458333
0.583333,0.375,0.559322,0.5
0.638889,0.416667,0.576271,0.541667
0.694444,0.333333,0.644068,0.541667
0.666667,0.416667,0.677966,0.666667
0.472222,0.375,0.59322,0.583333
0.388889,0.25,0.423729,0.375
0.333333,0.166667,0.474576,0.416667
0.333333,0.166667,0.457627,0.375
0.416667,0.291667,0.491525,0.458333
0.472222,0.291667,0.694915,0.625
0.305556,0.416667,0.59322,0.583333
0.472222,0.583333,0.59322,0.625
0.666667,0.458333,0.627119,0.583333
0.555556,0.125,0.576271,0.5
0.361111,0.416667,0.525424,0.5
0.333333,0.208333,0.508475,0.5
0.333333,0.25,0.576271,0.458333
0.5,0.416667,0.610169,0.541667
